cantidad_animales,peso_promedio_entrada,precio_compra_kg,costo_logistica_total,costo_alimentacion_estadia,duracion_estadia_dias,mes_adquisicion,costo_total_lote,peso_salida,precio_venta_final_kg
19,102.931,19.305,772.2,0.0,1,8,38527.219999999994,1957.525,24.271
95,98.041,19.585,1865.93,89.26,2,10,184363.82,9346.141,23.538
82,99.813,16.561,1731.93,112.16,3,9,137390.25,8199.61,21.072
58,102.55,18.216,1267.81,0.0,3,2,109615.94,5907.033,22.398
58,85.843,16.434,900.49,0.0,1,10,82724.91,4983.426,21.019
105,94.943,18.689,1601.41,109.06,2,7,188020.27,9971.13,22.191
19,93.737,17.125,702.82,18.2,2,4,31220.59,1783.215,20.939
87,92.389,18.638,1947.1,0.0,1,7,151753.89,8076.814,23.371
32,95.299,18.908,928.67,0.0,1,12,58589.75,3030.688,23.91
20,109.46,19.075,601.35,0.0,1,11,42359.26,2185.308,23.081
68,90.573,16.431,1779.96,3.78,3,11,102981.85,6169.906,20.699
118,105.246,19.664,1744.13,277.32,3,6,246230.33000000002,12360.129,24.26
91,84.037,16.921,1600.43,0.0,3,10,131000.48999999999,7681.232,20.555
94,94.821,16.15,1932.16,162.28,3,5,146038.96,8923.016,19.701
89,98.802,18.219,1564.13,0.0,3,9,161774.33000000002,8815.713,21.485
97,102.19,17.484,2480.47,0.0,1,8,175785.94,9895.43,21.404
66,103.19,19.319,1207.75,50.55,3,3,132831.97,6827.154,23.557
24,103.847,19.233,703.39,0.0,1,4,48638.25,2500.312,22.525
103,94.71,17.269,2528.55,0.0,2,1,170985.90999999997,9761.966,22.505
59,93.801,19.812,1358.55,28.97,2,2,111030.25,5538.162,24.224
65,104.364,17.164,1761.94,0.0,2,6,118194.24,6789.149,22.169
51,95.97,18.06,1331.42,0.0,1,6,89726.27,4881.771,22.885
30,87.295,17.024,893.32,0.0,1,2,45476.01,2617.676,21.487
112,88.434,19.744,1959.79,0.0,3,6,197517.44,9900.043,24.266
96,90.144,16.658,1929.22,0.0,1,8,146088.96,8663.814,21.479
81,101.477,16.18,1597.05,0.0,1,3,134588.21,8244.315,19.915
54,98.639,17.74,903.34,16.99,3,5,95415.0,5309.613,21.079
101,103.024,19.97,1899.97,0.0,1,5,209690.87,10401.51,23.279
70,94.082,19.567,1800.99,0.0,3,7,130662.22,6615.008,24.177
59,98.768,18.994,1280.45,48.07,3,5,112015.36,5814.331,22.409
60,102.505,19.563,1003.53,68.75,2,9,121391.31999999999,6135.112,23.274
35,95.025,19.574,668.87,0.0,1,4,65768.99,3327.902,24.106
20,101.154,18.075,501.43,0.0,1,6,37069.55,2028.209,22.34
71,92.205,17.264,994.7,0.0,1,5,114012.06999999999,6546.75,21.155
108,94.596,19.088,2770.55,114.18,2,3,197894.37999999998,10257.053,23.802
17,94.446,18.647,466.94,0.0,1,9,30405.69,1609.711,24.15
105,87.933,17.495,1843.78,25.46,2,3,163397.06999999998,9256.312,21.016
101,101.396,16.378,2098.57,0.0,1,4,169823.87,10257.998,19.324
40,93.745,18.987,557.99,0.0,2,10,71755.87000000001,3775.976,22.729
80,97.6,17.05,1440.55,0.0,1,12,134565.65,7803.191,22.261
28,101.346,19.747,827.9,17.43,3,9,56881.86,2820.631,24.467
94,101.072,16.964,2065.99,0.0,1,11,163236.3,9546.517,20.554
87,102.823,16.491,2294.38,0.0,1,11,149816.69,8933.325,20.888
49,96.712,19.324,1248.66,0.0,1,6,92825.18000000001,4740.427,22.532
17,94.114,16.613,610.07,26.62,3,10,27216.57,1606.217,20.255
117,96.862,16.717,2976.55,0.0,1,4,192429.19999999998,11278.409,20.886
59,84.001,18.398,1748.87,7.84,2,6,92936.31,4937.468,21.44
109,85.923,19.498,2542.33,33.02,2,7,185188.49,9320.627,23.095
85,86.918,16.786,2322.13,0.0,2,12,126336.25,7370.463,21.883
96,89.522,17.241,2445.07,176.21,3,11,150794.94,8605.449,21.412
94,100.698,19.11,2412.59,197.79,3,6,183494.97,9480.516,23.384
31,90.256,19.887,755.64,0.0,2,8,56399.15,2800.26,24.431
50,94.475,18.003,1266.86,118.15,3,3,86426.23999999999,4703.714,21.332
61,107.894,16.576,1159.73,0.0,1,10,110252.36,6535.911,20.07
65,94.65,16.056,1324.94,0.0,3,7,100103.78,6153.246,20.07
14,103.4,16.919,643.21,0.0,2,7,25134.64,1445.553,20.712
70,90.031,16.527,1969.32,23.15,3,10,106150.32,6310.859,21.6
27,95.856,18.711,847.35,0.0,3,8,49272.82,2593.576,23.432
92,89.9,16.487,1509.09,122.08,3,1,137994.31,8274.214,20.331
85,94.788,18.025,1988.98,19.78,3,4,147238.0,8075.331,22.5
112,104.222,18.777,2578.01,113.68,2,3,221874.62,11680.943,22.418
92,83.681,18.324,1753.82,0.0,1,9,142828.25,7710.935,22.493
50,100.975,16.799,610.73,0.0,2,1,85425.53,5038.096,21.71
117,99.402,19.216,1507.69,0.0,1,3,224995.96,11623.754,23.656
55,92.747,18.862,1465.67,33.43,3,8,97713.65999999999,5104.085,23.076
46,85.932,18.956,883.12,0.0,1,9,75813.11,3962.581,23.622
110,98.077,16.524,2849.05,0.0,1,7,181120.28999999998,10775.73,21.336
51,93.264,16.495,1080.96,0.0,1,11,79538.96,4763.904,21.186
18,99.361,19.71,605.91,15.88,2,12,35873.68,1787.079,24.602
62,97.675,17.59,1292.53,0.0,2,2,107816.63,6053.703,20.761
98,110.314,17.204,2473.69,87.32,3,12,188547.7,10837.698,22.137
31,95.585,17.954,636.69,15.06,2,8,53852.96,2945.423,22.94
61,89.312,18.651,1419.25,0.0,1,8,103033.01,5426.844,22.187
24,98.934,19.822,803.88,0.0,1,2,47870.82,2363.863,24.17
86,99.26,17.146,2281.84,0.0,1,8,148644.38999999998,8476.596,20.66
62,108.374,19.699,1621.45,0.0,2,9,133983.69,6705.485,23.378
46,104.181,16.099,746.59,0.0,3,7,77900.26,4803.096,20.003
35,100.355,18.221,810.55,37.64,2,2,64847.340000000004,3509.422,22.008
72,109.206,18.536,963.59,17.35,3,7,146726.18,7867.528,23.013
84,87.99,16.424,1168.69,0.0,1,12,122557.92,7415.303,21.886
114,92.382,16.561,2591.89,0.0,1,9,177008.61000000002,10573.494,21.142
58,90.087,17.676,1321.18,24.99,3,2,93706.87,5223.985,21.56
27,94.382,19.865,765.81,0.0,1,12,51387.63,2558.649,24.309
102,86.487,18.384,2648.77,0.0,1,12,164827.00999999998,8824.062,23.159
79,102.581,19.732,1941.1,0.0,2,3,161848.31,8083.557,24.254
87,95.722,19.217,2082.52,148.3,3,10,162270.47999999998,8312.983,23.896
20,85.734,17.87,573.65,0.0,3,5,31214.010000000002,1707.055,22.481
44,89.375,19.139,921.8,0.0,1,8,76186.44,3922.038,22.728
95,100.008,16.071,1953.19,0.0,3,6,154643.37,9490.566,20.756
102,104.205,16.437,2566.81,129.95,3,10,177399.67,10654.535,19.861
58,113.474,19.318,880.11,34.58,3,12,128053.90000000001,6615.459,23.17
99,115.0,19.187,1783.39,0.0,3,10,220230.44,11337.792,22.964
103,100.815,16.931,2287.68,0.0,1,12,178094.19999999998,10396.211,21.167
53,89.584,18.123,734.92,119.57,3,12,86901.70000000001,4733.115,22.194
109,80.444,18.424,2077.75,0.0,1,2,163626.49,8780.843,22.021
42,99.642,19.471,1181.34,0.0,3,4,82666.34,4183.305,23.046
36,90.996,18.412,954.9,0.0,2,9,61271.68,3257.88,22.434
85,94.177,17.65,1416.03,100.08,3,8,142807.65999999997,8027.35,20.506
80,92.603,17.497,1915.1,50.86,2,1,131586.3,7394.812,21.612
25,96.374,17.704,603.95,0.0,2,2,43257.799999999996,2405.483,22.41
