cantidad_animales,peso_promedio_entrada,precio_compra_kg,costo_adquisicion_total,costo_combustible_viaje,costo_peajes_lavado,costo_flete_estimado,mantenimiento_camion_prorrateado,costo_fijo_diario_lote,factor_ocupacion_granja,tasa_consumo_energia_agua,costo_mano_obra_asignada,duracion_estadia_dias,costo_alimentacion_total,costo_sanitario_total,merma_peso_transporte,peso_salida_esperado,mes_adquisicion,dia_semana_llegada,es_feriado_proximo,dias_para_festividad,costo_operativo_por_cabeza,ratio_alimento_precio_compra,indicador_eficiencia_estadia,precio_venta_kg
19,91.56,22.94,39913.1,55.14,259.55,755.51,17.34,950.0,0.732,1.5,19.45,2,56.59,134.87,5.91,1768.34,11,1,0,999,106.33,0.0014,45.78,28.11
95,104.89,22.32,222463.92,55.39,292.79,2256.26,16.76,950.0,0.353,7.26,93.9,2,302.44,504.29,43.71,10148.69,8,3,0,999,37.42,0.0014,52.45,24.17
82,97.78,18.03,144598.47,75.76,263.08,1143.91,16.76,475.0,0.639,6.26,81.05,1,155.32,1073.61,37.92,8064.9,8,5,0,999,23.87,0.0011,97.78,20.7
58,95.24,19.29,106554.71,98.19,213.74,1199.8,17.05,950.0,0.663,4.18,54.1,2,169.1,786.18,27.05,5662.25,4,4,1,0,42.44,0.0016,47.62,22.27
58,96.65,22.45,125841.89,100.99,175.69,1998.2,17.44,1425.0,0.393,4.41,57.01,3,335.84,429.92,45.05,5786.7,6,6,0,999,63.79,0.0027,32.22,24.87
105,99.28,20.66,215358.42,52.17,215.24,1714.92,20.83,950.0,0.75,9.8,126.83,2,292.67,903.03,40.14,10574.41,2,5,1,7,27.93,0.0014,49.64,23.94
19,102.43,24.47,47624.81,72.86,224.28,1227.36,21.13,1425.0,0.501,1.7,21.94,3,75.5,163.02,8.27,2018.33,5,0,0,999,155.24,0.0016,34.14,27.54
87,89.5,23.35,181843.35,105.8,184.14,1187.51,16.76,475.0,0.418,6.64,85.99,1,112.67,1030.26,62.31,7833.11,8,1,1,2,22.44,0.0006,89.5,26.38
32,89.17,21.13,60296.18,108.75,175.71,1204.75,21.13,475.0,0.717,2.85,36.94,1,32.68,219.92,24.4,2865.61,5,2,0,999,61.38,0.0005,89.17,23.27
20,106.34,23.25,49439.69,102.39,249.05,1367.96,18.29,475.0,0.56,1.59,20.61,1,36.98,295.74,10.68,2135.66,10,4,0,999,109.72,0.0007,106.34,26.51
68,94.2,24.83,159039.35,51.72,206.12,1858.95,17.34,475.0,0.621,5.38,69.61,1,73.39,382.07,38.76,6452.25,11,6,0,999,38.11,0.0005,94.2,29.59
118,86.17,21.23,215824.18,51.75,186.05,1234.47,18.87,1425.0,0.625,9.7,125.54,3,472.35,1739.05,38.52,10634.83,7,4,0,999,24.55,0.0022,28.72,22.7
91,101.05,22.5,206879.58,49.67,174.3,1857.22,21.13,950.0,0.673,8.12,105.06,2,227.58,517.59,64.07,9282.03,5,1,0,999,33.31,0.0011,50.53,25.37
94,101.21,24.43,232419.89,50.86,244.33,1633.53,17.05,475.0,0.547,6.77,87.67,1,163.98,768.46,56.14,9557.19,4,1,0,999,25.57,0.0007,101.21,26.92
89,85.25,19.74,149785.31,52.51,203.72,1192.54,18.87,950.0,0.788,7.32,94.69,2,344.0,668.12,48.02,7798.6,7,6,0,999,26.95,0.0023,42.63,22.91
97,99.34,24.21,233237.88,52.02,212.47,1681.53,16.95,1425.0,0.825,6.73,87.09,3,528.66,736.85,43.77,9902.6,9,6,0,999,34.75,0.0023,33.11,27.32
66,103.38,18.68,127480.08,78.47,261.09,1580.38,20.83,1425.0,0.59,6.16,79.72,3,261.36,986.48,34.44,6952.32,2,0,1,0,50.68,0.0021,34.46,22.67
24,100.5,22.54,54361.74,81.63,260.06,1044.37,17.44,475.0,0.401,1.82,23.59,1,34.94,230.0,16.02,2416.76,6,5,0,999,77.54,0.0006,100.5,25.58
103,102.56,23.48,248023.77,75.14,233.95,1641.56,17.44,1425.0,0.467,7.82,101.24,3,385.33,638.1,35.06,10924.8,6,2,0,999,32.77,0.0016,34.19,25.5
59,86.27,22.3,113511.39,49.19,279.59,1311.01,17.05,950.0,0.762,4.25,55.03,2,227.03,874.55,32.65,5209.26,4,2,0,999,43.89,0.002,43.13,25.94
65,100.15,21.47,139753.81,49.27,303.82,1183.43,17.44,1425.0,0.453,5.17,66.85,3,218.16,482.73,20.63,6660.72,3,5,1,6,45.56,0.0016,33.38,23.81
51,95.08,22.32,108237.31,97.02,174.09,1768.02,17.34,950.0,0.766,4.03,52.21,2,199.1,292.0,34.99,4911.29,11,1,0,999,58.61,0.0018,47.54,26.69
30,93.64,19.06,53546.65,78.73,289.85,1426.54,17.44,1425.0,0.697,2.28,29.49,3,163.23,157.25,12.17,2904.49,6,6,0,999,107.34,0.003,31.21,21.52
112,104.46,19.51,228255.59,54.66,240.1,1774.85,18.87,1425.0,0.568,9.21,119.16,3,575.09,1078.82,84.19,12046.1,7,3,1,7,31.2,0.0025,34.82,21.32
