lote_id,cantidad_animales,peso_promedio_entrada,precio_compra_kg,duracion_estadia_dias,mes_adquisicion,kilos_entrada,kilos_salida,costo_logistica_total,costo_alimentacion,costo_fijo_total,compra_total,precio_base_kg,costo_variable_total,precio_venta_final_kg,costo_total_lote
1,19,102.931,19.305,1,8,1955.695,1957.525,772.2,0.0,453.55,37755.02,21.833,38527.22,24.271,38527.219999999994
2,95,98.041,19.585,2,10,9313.86,9346.141,1865.93,89.26,515.14,182408.63,21.343,184363.82,23.538,184363.82
3,82,99.813,16.561,3,9,8184.662,8199.61,1731.93,112.16,501.2,135546.16,19.095,137390.25,21.072,137390.25
4,58,102.55,18.216,3,2,5947.918,5907.033,1267.81,0.0,589.66,108348.13,20.262,109615.94,22.398,109615.94
5,58,85.843,16.434,1,10,4978.88,4983.426,900.49,0.0,733.06,81824.42,18.961,82724.91,21.019,82724.91
6,105,94.943,18.689,2,7,9968.976,9971.13,1601.41,109.06,829.48,186309.8,20.09,188020.27,22.191,188020.27
7,19,93.737,17.125,2,4,1781.003,1783.215,702.82,18.2,561.92,30499.57,18.72,31220.59,20.939,31220.59
8,87,92.389,18.638,1,7,8037.841,8076.814,1947.1,0.0,617.91,149806.79,21.17,151753.89,23.371,151753.89
9,32,95.299,18.908,1,12,3049.564,3030.688,928.67,0.0,269.83,57661.08,21.647,58589.75,23.91,58589.75
10,20,109.46,19.075,1,11,2189.191,2185.308,601.35,0.0,482.42,41757.91,20.762,42359.26,23.081,42359.26
11,68,90.573,16.431,3,11,6158.988,6169.906,1779.96,3.78,688.06,101198.11,18.706,102981.85,20.699,102981.85
12,118,105.246,19.664,3,6,12419.055,12360.129,1744.13,277.32,673.19,244208.88,22.0,246230.33,24.26,246230.33000000002
13,91,84.037,16.921,3,10,7647.371,7681.232,1600.43,0.0,542.32,129400.06,18.616,131000.49,20.555,131000.48999999999
14,94,94.821,16.15,3,5,8913.166,8923.016,1932.16,162.28,677.28,143944.52,17.834,146038.96,19.701,146038.96
15,89,98.802,18.219,3,9,8793.38,8815.713,1564.13,0.0,598.15,160210.2,19.464,161774.33,21.485,161774.33000000002
16,97,102.19,17.484,1,8,9912.409,9895.43,2480.47,0.0,740.06,173305.47,19.383,175785.94,21.404,175785.94
17,66,103.19,19.319,3,3,6810.528,6827.154,1207.75,50.55,557.87,131573.67,21.334,132831.97,23.557,132831.97
18,24,103.847,19.233,1,4,2492.323,2500.312,703.39,0.0,428.86,47934.86,20.306,48638.25,22.525,48638.25
19,103,94.71,17.269,2,1,9755.151,9761.966,2528.55,0.0,567.17,168457.36,20.401,170985.91,22.505,170985.90999999997
20,59,93.801,19.812,2,2,5534.27,5538.162,1358.55,28.97,120.0,109642.73,22.0,111030.25,24.224,111030.25
21,65,104.364,17.164,2,6,6783.647,6789.149,1761.94,0.0,576.58,116432.3,20.069,118194.24,22.169,118194.24
22,51,95.97,18.06,1,6,4894.448,4881.771,1331.42,0.0,120.0,88394.85,20.78,89726.27,22.885,89726.27
23,30,87.295,17.024,1,2,2618.835,2617.676,893.32,0.0,155.31,44582.69,19.474,45476.01,21.487,45476.01
24,112,88.434,19.744,3,6,9904.575,9900.043,1959.79,0.0,590.35,195557.65,22.0,197517.44,24.266,197517.44
25,96,90.144,16.658,1,8,8653.861,8663.814,1929.22,0.0,595.51,144159.74,19.458,146088.96,21.479,146088.96
26,81,101.477,16.18,1,3,8219.66,8244.315,1597.05,0.0,267.51,132991.16,18.072,134588.21,19.915,134588.21
27,54,98.639,17.74,3,5,5326.528,5309.613,903.34,16.99,357.58,94494.67,19.095,95415.0,21.079,95415.0
28,101,103.024,19.97,1,5,10405.412,10401.51,1899.97,0.0,774.11,207790.9,21.088,209690.87,23.279,209690.87
